Type,Day,Order,Time,Title,Speaker,Blurb,LinkedIn Profile,Headshot
Workshop,Friday,1,9:00am - 12:30pm,Full Stack Data Science: Building Your First Smart Application ,Chris Luiz,"This workshop delivers value for beginners, web developers, and data scientists via an intro to the Python scientific and data analysis stack, Flask, data acquisition/processing, and a means to knit them together. It is widely accessible and touches on several interests of the community.",https://www.linkedin.com/in/christopher-luiz/,luiz_headshot.jpeg
Workshop,Friday,2,1:00pm - 4:30pm,"Iterators, generators, coroutines and asyncio",Uche Ogbuji,"Python developers should learn effective use of the iterator protocol when crunching large datasets. The lineage of such techniques extends to Python 3’s asyncio, valuable in boosting network applications. This workshop progresses from a firm grounding in iterators through generators & asyncio.",https://www.linkedin.com/in/ucheogbuji/,ogbuji_headshot.jpeg
Keynote,Saturday,3,9:30am - 10:10am,Untitled,Ewa Jodlowska,?,https://www.linkedin.com/in/ewa-jodlowska-39810611/,jodlowska_headshot.jpeg
Regular Talk,Saturday,4,10:20am - 10:50am,Developing With Empathy ,Rami Chowdhury,"Building software is a team sport, we’re told. Yet it’s cooperation that makes teams work, and without empathy we can’t cooperate. This talk looks at adding care to our code and raising the bar beyond ""just come talk to me if you have a problem"".",https://www.linkedin.com/in/ramichowdhury/,chowdhury_headshot.jpeg
Regular Talk,Saturday,5,11:00am - 11:30am,"Pandas May Be Slow, but Pandas Doesn't Have to Be",Andrew Vaccaro,"Python is quickly becoming the de-facto language of data science. Pandas is one of the most popular libraries for managing and transforming data, but many users are unaware of strategies to tune pandas for performance. Simple changes can greatly speed up data processing when applied correctly.",https://www.linkedin.com/in/andrew-vaccaro-510187103/,vaccaro_headshot.jpeg
Regular Talk,Saturday,6,11:40am - 12:10pm,Boring Object Orientation,Moshe Zadka,"The strengths and weaknesses of Python lend themselves to a different style of object oriented programming. By accepting several constraints on how we design and implement classes, we make our code more robust, more testable, and easier to adapt to changing circumstances",https://www.linkedin.com/in/moshezadka/,zadka_headshot.jpg
Regular Talk,Saturday,7,2:10pm - 2:40pm,Optimizing SQL + Python Pipelines for Data Science,Jordan Hagan,Poorly written SQL and Python can make data extraction and manipulation tedious and painful. Streamlined processes utilizing SQL best practices will save hours of frustration. My goal is to teach attendees proven SQL methodologies and what python tools to use when.,https://www.linkedin.com/in/jordanhhagan/,hagan_headshot.jpg
Regular Talk,Saturday,8,2:50pm - 3:20pm,Unleashing the Eighth Plague: An Intro to Load Testing with Locust and Python,Gabriel Boorse,"Puzzling over performance problems in production? Baffling backend bugs bending your brain? Unleash a plague of Locusts on your web app to devour performance problems, permanently! In this talk, you will learn how to leverage Locust for load testing RESTful services and more.",https://www.linkedin.com/in/gabrielboorse/,boorse_headshot.jpeg
Regular Talk,Saturday,9,3:50pm - 4:20pm,Stats Don't Have to Be Scary: Automatic a/b Test Analysis Using Python,Kristie Wirth,"Learn how my workplace manages to analyze dozens of concurrent A/B tests with millions of data points! I’ll discuss our previous manual analysis process, some things that have changed, and do a down-to-earth walkthrough of how you too can use Python to automate analyzing your tests.",https://www.linkedin.com/in/kristiewirth/,wirth_headshot.jpeg
Regular Talk,Saturday,10,4:30pm - 5:00pm,Getting started with gRPC-Web and Python,Flavia Bastos,"In this talk, we will explore what gRPC is and its application in web development. We will walk through an implementation of a Python server and a JS client communicating via gRPC.",https://www.linkedin.com/in/flavia-bastos-developer/,bastos_headshot.jpeg
